customer_id,age,annual_income,spend_score,tenure_years,region,membership_tier
CUST00000,61.0,98721.06,49.3,3.99,North,Gold
CUST00001,47.0,65848.52,39.14,8.19,West,Platinum
CUST00002,,68249.13,72.86,0.86,,Silver
CUST00003,37.0,73654.04,35.82,0.46,South,Basic
CUST00004,20.0,41322.72,71.19,1.98,South,Basic
CUST00005,48.0,96569.0,42.97,0.44,East,Basic
CUST00006,55.0,93766.69,61.83,0.08,North,Platinum
CUST00007,63.0,101180.05,82.5,2.03,South,Platinum
CUST00008,33.0,30087.32,75.77,0.32,South,Basic
CUST00009,43.0,78158.02,24.17,2.81,North,Basic
CUST00010,22.0,40348.44,64.49,1.37,West,Silver
CUST00011,62.0,79006.85,38.25,7.94,North,Basic
CUST00012,44.0,95755.81,46.95,2.48,,Platinum
CUST00013,52.0,94008.19,83.88,3.69,,Basic
CUST00014,51.0,99411.02,2.67,1.89,South,Basic
CUST00015,32.0,21720.9,78.64,3.13,North,Silver
CUST00016,50.0,110853.34,38.85,4.97,South,Basic
CUST00017,20.0,27900.29,89.16,2.03,East,Basic
CUST00018,58.0,144854.78,66.17,2.02,,Gold
CUST00019,38.0,56849.21,44.2,0.53,East,Basic
CUST00020,59.0,83577.28,76.16,0.08,West,Silver
CUST00021,26.0,29846.33,39.39,0.96,South,Silver
CUST00022,58.0,122921.83,76.39,2.19,North,Basic
CUST00023,60.0,114364.91,49.38,,East,Basic
CUST00024,62.0,143356.11,68.17,2.02,North,Basic
CUST00025,30.0,37249.39,78.11,8.37,North,Basic
CUST00026,44.0,51782.51,51.69,2.93,South,Basic
CUST00027,22.0,28072.48,90.84,5.29,South,Gold
CUST00028,27.0,21820.03,66.14,16.93,North,Gold
CUST00029,41.0,45394.76,63.72,7.05,West,Platinum
CUST00030,40.0,90904.91,32.74,8.96,East,Silver
CUST00031,60.0,110730.34,35.47,1.6,West,Gold
CUST00032,27.0,30714.28,64.85,0.53,South,Silver
CUST00033,21.0,27791.73,70.51,1.3,South,Basic
CUST00034,42.0,69701.34,,,West,Basic
CUST00035,19.0,21377.77,78.31,0.37,North,Silver
CUST00036,27.0,23469.19,,0.07,South,Gold
CUST00037,29.0,89808.71,42.1,0.0,West,Silver
CUST00038,20.0,45854.11,90.7,6.95,South,Basic
CUST00039,34.0,65535.58,62.57,10.45,West,Platinum
CUST00040,32.0,90857.84,38.23,3.36,South,Basic
CUST00041,62.0,101964.06,50.34,2.58,South,Platinum
CUST00042,53.0,44329.08,23.46,2.03,West,Gold
CUST00043,23.0,20110.45,94.34,10.92,North,Gold
CUST00044,64.0,82448.46,33.41,1.17,West,Gold
CUST00045,66.0,77331.5,,4.56,North,Basic
CUST00046,,31514.16,52.11,0.82,South,Silver
CUST00047,27.0,35807.49,59.66,0.84,East,Gold
CUST00048,48.0,75198.55,32.19,3.69,East,Gold
CUST00049,23.0,51855.08,75.96,4.35,West,Basic
CUST00050,30.0,30385.21,99.25,0.37,West,Basic
CUST00051,21.0,34865.31,,3.22,East,Basic
CUST00052,,107616.0,96.17,3.03,East,Silver
CUST00053,42.0,73502.48,24.21,0.65,South,Silver
CUST00054,38.0,83577.89,16.63,7.68,West,Gold
CUST00055,54.0,,35.44,2.04,East,Gold
CUST00056,46.0,80356.93,30.26,1.27,North,Silver
CUST00057,47.0,91373.75,20.63,1.24,West,Basic
CUST00058,24.0,27335.91,78.99,1.28,South,Silver
CUST00059,24.0,27135.18,73.07,0.15,South,Basic
CUST00060,48.0,,27.78,4.19,South,Basic
CUST00061,49.0,62477.23,54.41,8.88,West,Basic
CUST00062,54.0,73920.02,44.84,6.45,South,Basic
CUST00063,57.0,63883.21,54.9,1.38,South,Basic
CUST00064,39.0,73214.57,27.97,3.79,North,Silver
CUST00065,55.0,61652.94,21.57,1.23,South,Basic
CUST00066,42.0,67616.29,26.33,0.48,North,Basic
CUST00067,24.0,41554.74,73.33,1.37,East,Basic
CUST00068,24.0,55829.01,69.6,1.4,West,Silver
CUST00069,43.0,82279.55,50.83,0.59,South,Silver
CUST00070,18.0,31335.35,77.51,1.51,West,Basic
CUST00071,44.0,88334.75,31.15,1.8,West,Basic
CUST00072,63.0,96033.03,57.9,0.89,North,Platinum
CUST00073,32.0,30719.3,65.98,0.16,East,Silver
CUST00074,24.0,,63.5,0.76,East,Silver
CUST00075,32.0,39329.05,77.24,6.16,South,Silver
CUST00076,21.0,28379.33,42.45,2.45,,Gold
CUST00077,41.0,68232.37,37.18,1.13,South,Gold
CUST00078,41.0,57925.1,54.54,0.89,North,Basic
CUST00079,59.0,90342.99,21.59,3.06,East,Silver
CUST00080,45.0,67882.31,32.28,0.6,North,Basic
CUST00081,55.0,64922.28,33.65,0.73,South,Silver
CUST00082,53.0,,71.19,5.29,East,Basic
CUST00083,18.0,24924.7,74.38,1.71,East,Basic
CUST00084,25.0,24494.66,,,South,Platinum
CUST00085,21.0,33763.11,63.0,0.08,South,Gold
CUST00086,42.0,77557.62,46.1,10.09,North,Basic
CUST00087,45.0,70649.01,29.56,0.01,South,Platinum
CUST00088,18.0,28807.31,62.84,2.17,,Basic
CUST00089,40.0,78847.38,29.21,3.05,East,Silver
CUST00090,27.0,45580.03,75.14,2.33,South,Gold
CUST00091,49.0,106150.67,65.84,1.41,North,Basic
CUST00092,49.0,62320.19,41.15,5.53,East,Silver
CUST00093,28.0,31311.79,50.93,6.15,East,Silver
